id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
289553995,9b1a0433-5c7a-49ba-b359-7bc5990824d3,2025-06-13 13:09:50,2025-06-13,2025-06-13 11:09:50 UTC,Pretoria,2173153,dryfveer,Santie Gouws,2025-06-14 15:49:42 UTC,2025-06-19 18:04:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/289553995,https://inaturalist-open-data.s3.amazonaws.com/photos/520805045/medium.jpg,,"",,1,0,false,2,"Table Mountain National Park, ZA-WC-CT, ZA-WC, ZA",-34.3455068125,18.4714588533,6,,,,6,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
291866073,0491fa31-9d63-4563-b7b4-30e3bf8a8a69,2025-06-18 15:43:07+02:00,2025-06-18,2025-06-18 13:43:07 UTC,Pretoria,6409498,laurenvannoort,,2025-06-22 18:45:22 UTC,2025-07-04 08:46:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/291866073,https://inaturalist-open-data.s3.amazonaws.com/photos/525165347/medium.jpg,,"","",2,0,false,3,"Table Mountain National Park, Cape Point, Western Cape, ZA",-34.2494466667,18.3838666667,3,,,,3,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
296775967,2fd71b0a-7205-40be-8b99-f4eca87e1627,2025-07-09 10:16:14,2025-07-09,2025-07-09 08:16:14 UTC,Pretoria,855543,joctober,Johan October,2025-07-10 15:11:50 UTC,2025-10-06 08:11:50 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/296775967,https://inaturalist-open-data.s3.amazonaws.com/photos/534415948/medium.jpg,,"",,1,0,false,2,"Table Mountain (Nature Reserve), Cape Town, South Africa",-34.0001814997,18.3924315,,,,,,,open,false,gps,gps,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
299634527,5e7c2d35-c610-45da-aa43-9c8516adbe37,2025-07-07 14:52:45+02:00,2025-07-07,2025-07-07 12:52:45 UTC,Pretoria,731085,callumevans,Callum Evans,2025-07-20 20:33:40 UTC,2025-07-21 03:26:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/299634527,https://inaturalist-open-data.s3.amazonaws.com/photos/539823179/medium.jpg,,"","",3,0,false,3,"Table Mountain National Park, Cape Point, Western Cape, ZA",-34.3538297076,18.4733009019,69,,,,69,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
301008017,7c5d55a5-e501-4583-88e7-5671ff10a5a6,2025-07-23 08:42:45+02:00,2025-07-23,2025-07-23 06:42:45 UTC,Pretoria,731085,callumevans,Callum Evans,2025-07-25 18:56:00 UTC,2026-01-11 14:36:46 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/301008017,https://inaturalist-open-data.s3.amazonaws.com/photos/542388164/medium.jpg,,"","",3,0,false,3,"Table Mountain National Park, Cape Point, Western Cape, ZA",-34.3553979182,18.4732223909,73,,,,73,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
301489334,3f277185-6a17-4362-856c-788578608f43,2025-07-25 12:41:24+02:00,2025-07-25,2025-07-25 10:41:24 UTC,Pretoria,731085,callumevans,Callum Evans,2025-07-27 12:21:53 UTC,2025-10-06 08:11:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/301489334,https://inaturalist-open-data.s3.amazonaws.com/photos/544027536/medium.jpg,,"","",1,0,false,3,"Lighthouse Road, Cape Point, Western Cape, ZA",-34.1569028333,18.32623,20,,,,20,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
301807404,88d295c7-0c10-45d5-b34e-8e3157ef6c46,2025-07-28 09:04:02,2025-07-28,2025-07-28 07:04:02 UTC,Pretoria,1258630,jeanstephenson,Jean Stephenson,2025-07-28 12:44:50 UTC,2025-10-06 08:11:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/301807404,https://inaturalist-open-data.s3.amazonaws.com/photos/543880723/medium.jpg,,"",,1,0,false,2,"Table Mountain (Nature Reserve), Cape Town, South Africa",-33.9468321064,18.4631361254,8,,,,8,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
301807454,15704628-e2f8-4b50-bbc2-556b8636253b,2025-07-28 09:18:02,2025-07-28,2025-07-28 07:18:02 UTC,Pretoria,1258630,jeanstephenson,Jean Stephenson,2025-07-28 12:45:04 UTC,2025-10-06 08:10:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/301807454,https://inaturalist-open-data.s3.amazonaws.com/photos/543880808/medium.jpg,,"",,1,0,false,2,"Table Mountain (Nature Reserve), Cape Town, South Africa",-33.9465011889,18.4628877696,8,,,,8,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
302747350,04157f4d-762d-474e-8fe4-312374146ad2,2025-07-31 15:25:44,2025-07-31,2025-07-31 13:25:44 UTC,Pretoria,1258630,jeanstephenson,Jean Stephenson,2025-08-01 00:07:27 UTC,2025-10-06 08:10:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/302747350,https://inaturalist-open-data.s3.amazonaws.com/photos/545618172/medium.jpg,,"",,1,0,false,2,"Table Mountain (Nature Reserve), Cape Town, South Africa",-33.9461358637,18.4634760953,5,,,,5,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
304184184,bdd6cacf-ddc0-4e27-a952-d6634ea1e381,2025-08-01 09:09:48,2025-08-01,2025-08-01 07:09:48 UTC,Pretoria,731085,callumevans,Callum Evans,2025-08-06 09:14:41 UTC,2025-08-18 15:21:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/304184184,https://inaturalist-open-data.s3.amazonaws.com/photos/548337601/medium.jpg,,"",Mother and kitten,1,0,false,843,"Cape of Good Hope Drive, Cape Point, Western Cape, ZA",-34.3552741349,18.4739516541,126,,,,126,,open,false,,,Cape Caracal,Caracal caracal caracal,Cape Caracal,Mammalia,703804
